colorspace,quantize_method,total_bits,channel_bits,q1,q2,q3,error_value,filename,folder,config,bit_efficiency,channel_sum
YUV,equal,6,411,4,1,1,2925,out_YUV_equal_N6_411_error_2925.png,C2M1,C2M1,0.0020512820512820513,6
YUV,equal,8,116,1,1,6,3852,out_YUV_equal_N8_116_error_3852.png,C2M1,C2M1,0.0020768431983385254,8
YUV,equal,8,125,1,2,5,1761,out_YUV_equal_N8_125_error_1761.png,C2M1,C2M1,0.004542873367404884,8
YUV,equal,8,134,1,3,4,1269,out_YUV_equal_N8_134_error_1269.png,C2M1,C2M1,0.006304176516942475,8
YUV,equal,8,143,1,4,3,1118,out_YUV_equal_N8_143_error_1118.png,C2M1,C2M1,0.007155635062611807,8
YUV,equal,8,152,1,5,2,1285,out_YUV_equal_N8_152_error_1285.png,C2M1,C2M1,0.0062256809338521405,8
YUV,equal,8,161,1,6,1,2157,out_YUV_equal_N8_161_error_2157.png,C2M1,C2M1,0.0037088548910523874,8
YUV,equal,8,215,2,1,5,2523,out_YUV_equal_N8_215_error_2523.png,C2M1,C2M1,0.0031708283789139914,8
YUV,equal,8,224,2,2,4,646,out_YUV_equal_N8_224_error_646.png,C2M1,C2M1,0.01238390092879257,8
YUV,equal,8,233,2,3,3,430,out_YUV_equal_N8_233_error_430.png,C2M1,C2M1,0.018604651162790697,8
YUV,equal,8,242,2,4,2,461,out_YUV_equal_N8_242_error_461.png,C2M1,C2M1,0.01735357917570499,8
YUV,equal,8,251,2,5,1,1262,out_YUV_equal_N8_251_error_1262.png,C2M1,C2M1,0.006339144215530904,8
YUV,equal,8,314,3,1,4,2182,out_YUV_equal_N8_314_error_2182.png,C2M1,C2M1,0.0036663611365719525,8
YUV,equal,8,323,3,2,3,369,out_YUV_equal_N8_323_error_369.png,C2M1,C2M1,0.02168021680216802,8
YUV,equal,8,332,3,3,2,328,out_YUV_equal_N8_332_error_328.png,C2M1,C2M1,0.024390243902439025,8
YUV,equal,8,341,3,4,1,1051,out_YUV_equal_N8_341_error_1051.png,C2M1,C2M1,0.007611798287345386,8
YUV,equal,8,413,4,1,3,2183,out_YUV_equal_N8_413_error_2183.png,C2M1,C2M1,0.0036646816307833257,8
YUV,equal,8,422,4,2,2,497,out_YUV_equal_N8_422_error_497.png,C2M1,C2M1,0.01609657947686117,8
YUV,equal,8,431,4,3,1,1116,out_YUV_equal_N8_431_error_1116.png,C2M1,C2M1,0.007168458781362007,8
YUV,equal,8,512,5,1,2,2233,out_YUV_equal_N8_512_error_2233.png,C2M1,C2M1,0.0035826242722794446,8
YUV,equal,8,521,5,2,1,1232,out_YUV_equal_N8_521_error_1232.png,C2M1,C2M1,0.006493506493506494,8
YUV,equal,8,611,6,1,1,2875,out_YUV_equal_N8_611_error_2875.png,C2M1,C2M1,0.002782608695652174,8
YUV,nonuniform,4,112,1,1,2,847,out_YUV_nonuniform_N4_112_error_847.png,C2M2,C2M2,0.004722550177095631,4
YUV,nonuniform,4,121,1,2,1,875,out_YUV_nonuniform_N4_121_error_875.png,C2M2,C2M2,0.004571428571428572,4
YUV,nonuniform,4,211,2,1,1,272,out_YUV_nonuniform_N4_211_error_272.png,C2M2,C2M2,0.014705882352941176,4
YUV,nonuniform,6,114,1,1,4,838,out_YUV_nonuniform_N6_114_error_838.png,C2M2,C2M2,0.007159904534606206,6
YUV,nonuniform,6,123,1,2,3,806,out_YUV_nonuniform_N6_123_error_806.png,C2M2,C2M2,0.007444168734491315,6
